video,529,512,262,432,92,3,1,1,0
photo,150,0,0,150,0,0,0,0,0
video,227,236,57,204,21,1,1,0,0
photo,111,0,0,111,0,0,0,0,0
photo,213,0,0,204,9,0,0,0,0
photo,217,6,0,211,5,1,0,0,0
video,503,614,72,418,70,10,2,0,3
video,295,453,53,260,32,1,1,0,1
photo,203,1,0,198,5,0,0,0,0
photo,170,9,1,167,3,0,0,0,0
photo,210,2,3,202,7,1,0,0,0
photo,222,4,0,213,5,4,0,0,0
photo,313,4,2,305,6,2,0,0,0
photo,209,4,0,200,8,1,0,0,0
photo,346,11,0,335,10,1,0,0,0
video,332,100,30,303,23,1,5,0,0
video,135,256,79,117,18,0,0,0,0
video,150,173,47,132,16,1,0,1,0
video,221,166,36,192,28,0,1,0,0
photo,152,2,0,149,3,0,0,0,0
photo,234,15,1,221,12,1,0,0,0
photo,227,7,1,217,7,2,1,0,0
photo,98,0,0,96,0,2,0,0,0
video,18,0,0,18,0,0,0,0,0
photo,102,0,0,100,0,2,0,0,0
video,37,0,1,37,0,0,0,0,0
video,75,36,14,70,5,0,0,0,0
video,90,78,9,85,5,0,0,0,0
photo,145,9,0,138,7,0,0,0,0
video,253,300,31,229,22,1,1,0,0
photo,85,0,0,81,2,2,0,0,0
video,45,14,0,40,5,0,0,0,0
photo,92,0,0,85,4,2,1,0,0
photo,125,1,0,116,8,1,0,0,0
photo,119,4,0,116,3,0,0,0,0
photo,293,8,0,281,11,1,0,0,0
video,128,137,26,110,16,2,0,0,0
photo,84,15,13,78,5,1,0,0,0
photo,66,11,6,61,4,1,0,0,0
video,171,292,28,150,19,1,1,0,0
video,90,72,23,79,10,1,0,0,0
video,139,39,9,121,16,1,1,0,0
video,236,181,21,201,33,0,1,0,1
video,225,210,34,193,30,0,2,0,0
photo,275,12,0,260,11,4,0,0,0
video,372,456,37,334,31,1,1,1,4
photo,445,9,0,419,23,3,0,0,0
video,128,60,11,114,13,0,0,0,1
video,186,235,46,163,19,0,3,0,1
video,309,444,36,254,42,2,8,3,0
photo,77,11,3,75,2,0,0,0,0
video,119,72,28,103,16,0,0,0,0
photo,100,21,13,95,5,0,0,0,0
video,240,255,111,193,44,1,1,0,1
video,164,136,48,146,15,2,0,1,0
video,202,327,42,171,30,1,0,0,0
video,211,284,46,186,25,0,0,0,0
video,148,114,16,136,10,0,2,0,0
video,97,81,16,84,13,0,0,0,0
video,279,292,34,254,20,3,1,1,0
photo,263,8,0,245,14,4,0,0,0
video,177,193,34,151,25,1,0,0,0
photo,517,32,1,484,26,7,0,0,0
video,289,258,33,256,33,0,0,0,0
photo,66,13,0,65,1,0,0,0,0
photo,112,6,0,104,8,0,0,0,0
video,206,259,48,181,22,1,2,0,0
video,362,468,86,305,56,0,0,1,0
video,184,130,51,161,23,0,0,0,0
video,216,251,34,199,16,0,0,0,1
video,57,0,0,56,1,0,0,0,0
video,272,258,43,226,44,1,1,0,0
video,248,247,34,208,33,3,2,0,2
video,132,89,40,110,20,1,0,0,1
video,226,341,41,196,30,0,0,0,0
video,35,1,0,35,0,0,0,0,0
video,219,316,36,170,46,3,0,0,0
video,94,1,1,94,0,0,0,0,0
video,259,368,50,234,25,0,0,0,0
video,62,1,0,62,0,0,0,0,0
video,127,76,21,114,13,0,0,0,0
video,149,63,15,134,15,0,0,0,0
video,134,171,41,116,18,0,0,0,0
video,392,461,47,360,32,0,0,0,0
video,310,540,41,284,26,0,0,0,0
photo,14,3,0,12,2,0,0,0,0
photo,293,6,1,275,15,3,0,0,0
